Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,223.0,227.64999389648438,222.85000610351562,223.75,218.7406768798828,134455
2022-01-04,225.0,227.6999969482422,220.75,225.14999389648438,220.1093292236328,151163
2022-01-05,226.25,232.5,222.0500030517578,231.5500030517578,226.36605834960938,300591
2022-01-06,228.89999389648438,233.89999389648438,227.3000030517578,230.75,225.58395385742188,166734
2022-01-07,230.75,274.0,229.89999389648438,261.75,255.88992309570312,7235590
2022-01-10,256.0,261.25,248.0,249.39999389648438,243.81642150878906,1507828
2022-01-11,251.0,256.5,245.75,247.9499969482422,242.3988800048828,590341
2022-01-12,250.3000030517578,259.54998779296875,248.0,256.04998779296875,250.31753540039062,618352
2022-01-13,257.29998779296875,259.45001220703125,251.4499969482422,253.89999389648438,248.21566772460938,271783
2022-01-14,252.0500030517578,258.20001220703125,248.10000610351562,251.85000610351562,246.21157836914062,278450
2022-01-17,251.75,259.0,247.6999969482422,248.6999969482422,243.13209533691406,361411
2022-01-18,250.3000030517578,252.39999389648438,240.10000610351562,241.64999389648438,236.23992919921875,198164
2022-01-19,241.64999389648438,250.0,238.14999389648438,248.60000610351562,243.03433227539062,255787
2022-01-20,249.0,251.89999389648438,244.60000610351562,246.5,240.98135375976562,181132
2022-01-21,245.4499969482422,246.6999969482422,237.25,240.14999389648438,234.77349853515625,144774
2022-01-24,241.25,241.25,225.0,228.4499969482422,223.33544921875,226100
2022-01-25,229.39999389648438,235.25,220.25,232.60000610351562,227.39254760742188,190387
2022-01-27,229.9499969482422,235.10000610351562,227.5500030517578,232.5,227.29478454589844,154367
2022-01-28,232.0,243.9499969482422,232.0,238.0500030517578,232.7205352783203,230788
2022-01-31,240.6999969482422,247.14999389648438,238.25,241.4499969482422,236.04440307617188,284155
2022-02-01,243.9499969482422,247.3000030517578,234.0,235.39999389648438,230.12985229492188,338419
2022-02-02,237.1999969482422,240.0,237.1999969482422,237.9499969482422,232.6227569580078,108728
2022-02-03,238.9499969482422,249.9499969482422,238.14999389648438,246.0,240.49253845214844,467204
2022-02-04,246.10000610351562,249.5,242.1999969482422,245.3000030517578,239.80821228027344,156942
2022-02-07,244.39999389648438,246.9499969482422,240.10000610351562,244.64999389648438,239.17276000976562,127771
2022-02-08,245.9499969482422,247.35000610351562,240.0,243.0500030517578,237.6085968017578,162884
2022-02-09,243.0,246.75,238.0,238.6999969482422,233.35597229003906,117380
2022-02-10,236.64999389648438,239.6999969482422,235.60000610351562,237.6999969482422,232.37835693359375,99332
2022-02-11,235.1999969482422,240.5,235.1999969482422,238.35000610351562,233.01380920410156,128902
2022-02-14,238.25,238.25,221.5500030517578,224.4499969482422,219.4250030517578,208938
2022-02-15,227.9499969482422,230.0,220.0,228.85000610351562,223.72650146484375,170771
2022-02-16,228.85000610351562,234.9499969482422,227.85000610351562,232.64999389648438,227.44142150878906,122332
2022-02-17,232.5500030517578,234.0,226.0500030517578,228.0,222.89552307128906,54903
2022-02-18,228.0,230.4499969482422,223.0,224.6999969482422,219.66940307617188,71803
2022-02-21,224.6999969482422,224.6999969482422,218.35000610351562,221.10000610351562,216.15000915527344,152342
2022-02-22,214.8000030517578,215.0,206.0,210.8000030517578,210.8000030517578,237947
2022-02-23,210.0,223.35000610351562,210.0,219.6999969482422,219.6999969482422,166900
2022-02-24,211.0,214.64999389648438,199.0,204.10000610351562,204.10000610351562,420294
2022-02-25,211.0,223.9499969482422,210.8000030517578,219.35000610351562,219.35000610351562,511597
2022-02-28,213.6999969482422,220.75,213.4499969482422,218.5500030517578,218.5500030517578,108565
